date,title,content
2019-10-22,"【國立臺灣大學】書函                                                                                                                                                          主旨：有關社團法人臺灣地方教育發展學會及國內相關教育團體共同辦理2020年「面向教育，面向總統：親師生的教育許願單」問卷調查活動一案，請查照並依來函說明辦理。","None"
2019-10-22,"【財團法人潘文淵文教基金會】函                                                                                                                                主旨：本會頒發考察研究獎助學金以獎勵研究人員赴國際學術或研究機構從事短期研究，敬請公布並予推薦。","None"
2019-10-22,"【台9線南迴公路改善工程技術論壇籌備委員會】函                                                                                                主旨：「台9線南迴公路改善工程技術論壇」訂於108年11月29日假蓮潭國際會議館辦理，敬邀貴單位派員與會交流，請查照。","None"
2019-10-22,"【教育部】書函                                                                                                                                                                    主旨：【教育部】函轉行政院環境保護署預告修正「毒性化學物質事故調查處理報告作業準則」草案，其名稱修正為「毒性及關注化學物質事故調查處理報告準則」，並附修正草案總說明及條","None"
2019-10-22,"【教育部】書函                                                                                                                                                                     主旨：【教育部】函轉行政院環境保護署預告修正「申請解除毒性化學物質限制或禁止是項審核辦法」草案影本，並附修正草案總說明及條文對照表，請查照。","None"
2019-10-22,"【傳染病防治研究及教育中心】函                                                                                                                                 主旨：本中心與疾病管制署共同共辦之「假訊息因應處理工作坊」，謹訂於108年10月29日(星期二)09：00~17：15假臺大醫院國際會議中心402AB會議室舉行，歡迎蒞臨參加，請查照轉知。","None"
2019-10-17,"【內政部移民署】函                                                                                                                                                            主旨：【內政部移民署】為辦理109年「新住民及其子女海外培力計畫」寒假梯次，惠請各機關(學校)協助宣導，並鼓勵符合資格之新住民家庭、社工及教育人員踴躍報名參加。請查照。","None"
2019-10-17,"【教育部】函                                                                                                                                                                               主旨：【教育部】檢送本部「Study in Taiwan(SIT)人才資料庫計畫」中、英文「全球留臺傑出校友獎選拔作業說明」(含推薦表)，請貴校(中","None"
2019-10-17,"【國立臺灣大學】公告                                                                                                                                                          主旨：公告本校108學年度傅鐘獎學金會獎名單。","None"
2019-10-17,"【國立臺灣大學】公告                                                                                                                                                        主旨：公告本校108學年度希望獎學金獲獎資訊。","None"
2019-10-17,"【國立交通大學】函                                                                                                                                                           主旨：本校科技法律學院訂於108年11月28、29日(星期四、五)舉辦「2019年第二十三屆全國科技法律研討會」，敬請惠予公告活動文宣，並轉知所屬師生踴躍參加，請查照。","None"
